AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,REC_TIME,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
2.3,205,23.1,481,"15-11月-17 12.00.00.000000000 上午",145,302,0,875,2008
1.9,181,16.6,429,"16-11月-17 12.00.00.000000000 上午",142,249,0,726,1727
2.4,315,26.4,508,"17-11月-17 12.00.00.000000000 上午",189,314,0,1656,2982
3.8,454,42.2,1009,"18-11月-17 12.00.00.000000000 上午",333,657,0,2105,4558
5,699,56.6,1258,"19-11月-17 12.00.00.000000000 上午",484,815,0,2197,5453
1,341,74.8,268,"19-10月-18 12.00.00.000000000 上午",260,406,0,2504,3779
3.1,185,82,320,"31-10月-18 12.00.00.000000000 上午",195,224,0,2399,3323
2.6,363,86.7,557,"06-11月-18 12.00.00.000000000 上午",343,460,0,3056,4779
0.8,215,82.2,159,"08-11月-18 12.00.00.000000000 上午",139,285,0,1411,2209
5.8,320,69.5,875,"20-11月-18 12.00.00.000000000 上午",334,346,0,3529,5404
2.5,47,76.9,116,"22-11月-18 12.00.00.000000000 上午",37,52,0,2596,2848
3.6,346,84.2,515,"24-11月-18 12.00.00.000000000 上午",266,467,0,3416,5010
6.1,308,71.6,1100,"30-11月-18 12.00.00.000000000 上午",264,342,0,2955,4969
3,326,85.7,419,"02-12月-18 12.00.00.000000000 上午",256,428,0,2742,4171
3.1,544,90.9,725,"03-12月-18 12.00.00.000000000 上午",411,720,0,3498,5898
20.6,2042,51,6223,"10-12月-18 12.00.00.000000000 上午",2370,2331,0,18297,31263
22.4,2183,48.4,8038,"13-12月-18 12.00.00.000000000 上午",2417,2576,0,19998,35212
22.6,1427,47.1,6015,"19-12月-18 12.00.00.000000000 上午",1626,1762,0,11878,22708
2,355,88.9,424,"22-12月-18 12.00.00.000000000 上午",280,451,0,3984,5494
1.7,46,40.5,26,"29-12月-18 12.00.00.000000000 上午",38,43,0,252,405
0.3,1,79.7,0,"13-1月 -19 12.00.00.000000000 上午",0,5,0,1467,1473
2.3,608,93.6,642,"18-1月 -19 12.00.00.000000000 上午",406,784,0,5912,8352
4,679,87.9,865,"22-1月 -19 12.00.00.000000000 上午",459,834,0,6328,9165
3.1,297,90,545,"28-1月 -19 12.00.00.000000000 上午",249,346,0,3307,4744
1.3,46,34.6,75,"01-2月 -19 12.00.00.000000000 上午",43,98,0,287,549
3.1,61,51.6,223,"07-2月 -19 12.00.00.000000000 上午",78,87,0,706,1155
8.3,425,67.3,1591,"08-2月 -19 12.00.00.000000000 上午",586,502,0,4183,7287
1.4,214,83.8,172,"15-2月 -19 12.00.00.000000000 上午",140,295,0,1319,2140
2.2,32,41.5,128,"20-2月 -19 12.00.00.000000000 上午",32,55,0,347,594
1.4,294,86.8,275,"26-2月 -19 12.00.00.000000000 上午",233,394,0,1960,3156
2.9,388,83.5,406,"18-3月 -19 12.00.00.000000000 上午",220,518,0,1519,3051
2.7,369,84.8,443,"26-3月 -19 12.00.00.000000000 上午",270,526,0,1382,2990
1.8,344,88.8,335,"27-3月 -19 12.00.00.000000000 上午",290,487,0,1232,2688
2.6,183,64.3,215,"31-3月 -19 12.00.00.000000000 上午",144,240,0,879,1661
2,545,96.2,646,"08-4月 -19 12.00.00.000000000 上午",517,789,0,2338,4835
1.6,278,88.8,215,"14-4月 -19 12.00.00.000000000 上午",203,351,0,1091,2138
2.8,467,89,629,"19-4月 -19 12.00.00.000000000 上午",420,668,0,2072,4256
0.4,10,30.4,6,"05-5月 -19 12.00.00.000000000 上午",7,7,0,69,99
1.7,119,67.3,144,"12-5月 -19 12.00.00.000000000 上午",86,147,0,610,1106
2.1,575,97.4,580,"16-5月 -19 12.00.00.000000000 上午",471,840,0,2624,5090
1.9,416,91.4,435,"21-5月 -19 12.00.00.000000000 上午",308,567,0,1754,3480
1.6,351,91.6,317,"28-5月 -19 12.00.00.000000000 上午",269,545,0,1428,2910
1,269,96.9,183,"09-6月 -19 12.00.00.000000000 上午",212,348,0,1000,2012
4.5,262,84.2,221,"15-6月 -19 12.00.00.000000000 上午",235,386,0,1181,2285
1.1,159,96.4,175,"23-6月 -19 12.00.00.000000000 上午",149,248,0,652,1383
1.6,390,91.8,317,"04-7月 -19 12.00.00.000000000 上午",293,617,0,1475,3092
1.3,304,91.9,181,"09-7月 -19 12.00.00.000000000 上午",204,462,0,1186,2337
1.3,252,91.1,162,"11-7月 -19 12.00.00.000000000 上午",194,400,0,843,1851
1.5,351,94.6,276,"15-7月 -19 12.00.00.000000000 上午",244,488,0,1214,2573
1,100,93.4,74,"30-7月 -19 12.00.00.000000000 上午",86,158,0,549,967
0.9,116,66.9,99,"31-7月 -19 12.00.00.000000000 上午",74,147,0,516,952
1.2,166,95,170,"05-8月 -19 12.00.00.000000000 上午",115,236,0,800,1487
1.4,182,95.6,158,"06-8月 -19 12.00.00.000000000 上午",104,287,0,802,1533
0.9,131,99.5,103,"10-8月 -19 12.00.00.000000000 上午",112,230,0,640,1216
0.9,146,93.9,105,"16-8月 -19 12.00.00.000000000 上午",88,213,0,728,1280
0.4,75,58.4,23,"19-8月 -19 12.00.00.000000000 上午",35,88,0,312,533
1.6,187,93.4,156,"22-8月 -19 12.00.00.000000000 上午",137,277,0,880,1637
1.3,115,79.1,115,"04-9月 -19 12.00.00.000000000 上午",112,141,0,576,1059
1,136,75.6,51,"06-9月 -19 12.00.00.000000000 上午",61,149,0,426,823
1.1,167,96.9,184,"09-9月 -19 12.00.00.000000000 上午",121,265,0,896,1633
0.9,105,85.1,57,"14-9月 -19 12.00.00.000000000 上午",69,115,0,430,776
2.1,182,71.9,200,"16-9月 -19 12.00.00.000000000 上午",131,211,0,873,1597
1.9,220,68.3,385,"17-7月 -18 12.00.00.000000000 上午",167,288,0,2451,3511
2.7,563,100.9,594,"02-8月 -18 12.00.00.000000000 上午",350,629,0,5394,7530
1.5,635,107.4,542,"18-8月 -18 12.00.00.000000000 上午",449,747,0,6005,8378
4.4,115,13.4,362,"13-5月 -17 12.00.00.000000000 上午",101,151,0,574,1303
14.8,470,18.8,1063,"14-5月 -17 12.00.00.000000000 上午",342,577,0,4104,6556
7.2,174,11,476,"15-5月 -17 12.00.00.000000000 上午",154,216,0,1507,2527
13.4,1093,32.5,1846,"16-5月 -17 12.00.00.000000000 上午",678,1215,0,7437,12269
7.6,388,19.1,793,"17-5月 -17 12.00.00.000000000 上午",297,433,0,2525,4436
9.4,455,25.7,1104,"18-5月 -17 12.00.00.000000000 上午",334,505,0,2994,5392
10.8,347,16,877,"19-5月 -17 12.00.00.000000000 上午",242,410,0,3264,5140
8,271,18.5,769,"20-5月 -17 12.00.00.000000000 上午",239,346,0,1987,3612
13.9,656,32.1,1611,"21-5月 -17 12.00.00.000000000 上午",479,780,0,5243,8769
14.6,966,38.4,2055,"22-5月 -17 12.00.00.000000000 上午",647,1056,0,6470,11194
11.5,781,35.3,1574,"23-5月 -17 12.00.00.000000000 上午",536,895,0,4927,8713
4.5,378,23.5,768,"24-5月 -17 12.00.00.000000000 上午",252,470,0,1595,3463
11.8,742,37,1610,"25-5月 -17 12.00.00.000000000 上午",534,926,0,4219,8031
18.1,1012,46.3,1643,"07-6月 -17 12.00.00.000000000 上午",643,1119,0,6484,10901
13.8,965,31.4,1859,"08-6月 -17 12.00.00.000000000 上午",658,1132,0,6913,11527
11.8,765,31.4,1658,"09-6月 -17 12.00.00.000000000 上午",560,953,0,5463,9399
13.7,877,34.8,1881,"10-6月 -17 12.00.00.000000000 上午",645,1085,0,6430,10918
12.1,976,41,1843,"11-6月 -17 12.00.00.000000000 上午",696,1188,0,6203,10906
7.6,1127,51.5,1645,"12-6月 -17 12.00.00.000000000 上午",785,1422,0,6863,11842
10.2,761,32.7,1384,"13-6月 -17 12.00.00.000000000 上午",539,867,0,4582,8133
7.2,305,20.2,791,"14-6月 -17 12.00.00.000000000 上午",234,347,0,2052,3729
13.6,1063,42.3,2082,"15-6月 -17 12.00.00.000000000 上午",709,1247,0,7291,12392
11,850,43.2,1869,"16-6月 -17 12.00.00.000000000 上午",585,999,0,5012,9315
2.4,80,9.7,248,"17-6月 -17 12.00.00.000000000 上午",70,98,0,386,882
4.2,243,16.4,553,"18-6月 -17 12.00.00.000000000 上午",184,284,0,1224,2488
4.7,389,20.1,752,"19-6月 -17 12.00.00.000000000 上午",294,442,0,1860,3737
4.1,278,22.3,699,"20-6月 -17 12.00.00.000000000 上午",214,328,0,1380,2899
8.4,586,27.1,1180,"21-6月 -17 12.00.00.000000000 上午",387,655,0,3813,6621
14.8,1106,45.4,2197,"22-6月 -17 12.00.00.000000000 上午",726,1230,0,7292,12551
14.7,874,34.3,1698,"23-6月 -17 12.00.00.000000000 上午",605,1033,0,7059,11269
11.4,960,44.6,1924,"24-6月 -17 12.00.00.000000000 上午",636,1140,0,5721,10381
10.9,1292,58.8,2332,"25-6月 -17 12.00.00.000000000 上午",834,1468,0,7314,13240
13.9,1398,58.2,2671,"26-6月 -17 12.00.00.000000000 上午",903,1597,0,8884,15453
14.4,1237,50.8,2430,"27-6月 -17 12.00.00.000000000 上午",859,1367,0,7039,12932
13.8,1103,52.1,2198,"28-6月 -17 12.00.00.000000000 上午",756,1315,0,6594,11966
10.7,929,44.1,1846,"29-6月 -17 12.00.00.000000000 上午",643,1060,0,5382,9860
12,686,31,1466,"30-6月 -17 12.00.00.000000000 上午",431,691,0,5084,8358
10.9,1099,45.2,1986,"01-7月 -17 12.00.00.000000000 上午",747,1303,0,6464,11599
6.4,418,25.6,1060,"02-7月 -17 12.00.00.000000000 上午",284,527,0,2567,4856
3.9,231,16.3,543,"03-7月 -17 12.00.00.000000000 上午",166,289,0,1240,2469
4.1,170,15.1,469,"04-7月 -17 12.00.00.000000000 上午",149,234,0,1228,2250
6.7,390,20.6,960,"05-7月 -17 12.00.00.000000000 上午",289,478,0,2649,4766
2.1,109,10.5,299,"06-7月 -17 12.00.00.000000000 上午",83,117,0,501,1109
11.5,585,25.8,1315,"07-7月 -17 12.00.00.000000000 上午",440,710,0,4839,7889
5.6,326,23.9,812,"08-7月 -17 12.00.00.000000000 上午",248,426,0,1836,3648
11.5,946,34.5,1816,"09-7月 -17 12.00.00.000000000 上午",655,1056,0,6619,11092
14.1,964,41.2,2058,"10-7月 -17 12.00.00.000000000 上午",692,1207,0,6361,11282
10.2,837,38.7,1708,"11-7月 -17 12.00.00.000000000 上午",601,988,0,5047,9181
6.8,266,16.2,660,"12-7月 -17 12.00.00.000000000 上午",200,311,0,1870,3307
7.9,266,17.3,741,"13-7月 -17 12.00.00.000000000 上午",207,342,0,1943,3499
10.3,659,30.8,1482,"14-7月 -17 12.00.00.000000000 上午",459,810,0,4665,8075
10.2,756,34.7,1670,"15-7月 -17 12.00.00.000000000 上午",519,887,0,4010,7842
7.3,231,12.7,575,"16-7月 -17 12.00.00.000000000 上午",169,290,0,1705,2970
2,1,4.4,9,"17-7月 -17 12.00.00.000000000 上午",3,3,0,10,26
9.4,201,15.1,503,"24-7月 -17 12.00.00.000000000 上午",149,233,0,1304,2390
9.6,418,18.4,972,"25-7月 -17 12.00.00.000000000 上午",331,549,0,3039,5309
8.7,243,12.2,568,"26-7月 -17 12.00.00.000000000 上午",193,292,0,2113,3409
5.4,261,14.9,625,"27-7月 -17 12.00.00.000000000 上午",212,283,0,1512,2893
8.9,379,14.5,836,"28-7月 -17 12.00.00.000000000 上午",293,412,0,2953,4873
5.7,361,21.5,841,"29-7月 -17 12.00.00.000000000 上午",254,453,0,1881,3790
1.5,423,89.9,424,"01-8月 -18 12.00.00.000000000 上午",306,526,0,4144,5823
1.1,161,107.5,173,"04-8月 -18 12.00.00.000000000 上午",133,204,0,1535,2206
2.1,759,103.8,735,"08-8月 -18 12.00.00.000000000 上午",570,909,0,7362,10335
1.1,454,106.8,330,"12-8月 -18 12.00.00.000000000 上午",314,528,0,4246,5872
1.2,399,107.2,382,"26-8月 -18 12.00.00.000000000 上午",314,498,0,4259,5852
1.5,694,102.3,463,"01-9月 -18 12.00.00.000000000 上午",417,736,0,5525,7835
2,751,103.4,833,"06-9月 -18 12.00.00.000000000 上午",554,872,0,5401,8411
2,703,104.2,865,"11-9月 -18 12.00.00.000000000 上午",543,855,0,5100,8066
2,615,101.7,867,"28-9月 -18 12.00.00.000000000 上午",556,807,0,4854,7699
1,190,96.5,284,"02-10月-18 12.00.00.000000000 上午",226,262,0,2604,3566
2.5,17,32.8,86,"08-10月-18 12.00.00.000000000 上午",14,33,0,94,244
14.2,1048,25.3,3342,"09-10月-18 12.00.00.000000000 上午",1513,1152,0,9022,16077
13.6,828,47.5,2839,"10-10月-18 12.00.00.000000000 上午",843,1024,0,6966,12500
0.7,90,83.1,64,"03-11月-18 12.00.00.000000000 上午",92,113,0,1569,1928
1.1,268,87.2,251,"10-11月-18 12.00.00.000000000 上午",207,392,0,2241,3359
2.1,306,85.9,365,"12-11月-18 12.00.00.000000000 上午",271,429,0,2163,3534
2.4,342,84.2,534,"14-11月-18 12.00.00.000000000 上午",348,526,0,3824,5574
1.2,353,83.1,370,"16-11月-18 12.00.00.000000000 上午",257,441,0,2670,4091
1.7,173,87.1,257,"18-11月-18 12.00.00.000000000 上午",174,220,0,2279,3103
3.1,812,99.1,996,"27-11月-18 12.00.00.000000000 上午",565,1031,0,5287,8691
2.2,765,99.7,796,"05-12月-18 12.00.00.000000000 上午",562,1039,0,4478,7640
22.8,1701,44.8,6733,"14-12月-18 12.00.00.000000000 上午",2174,2248,0,15809,28665
21.5,1720,44.5,6049,"16-12月-18 12.00.00.000000000 上午",2530,2224,0,15846,28369
5,756,84.5,1142,"21-12月-18 12.00.00.000000000 上午",469,918,0,5840,9125
0.9,499,54,365,"31-12月-18 12.00.00.000000000 上午",303,551,0,4777,6495
0.8,1,86.9,12,"15-1月 -19 12.00.00.000000000 上午",15,23,0,7785,7836
3.1,318,82.5,519,"24-1月 -19 12.00.00.000000000 上午",224,337,0,2792,4190
2.6,262,88.2,414,"27-1月 -19 12.00.00.000000000 上午",153,267,0,3744,4840
3.4,202,88.9,365,"03-2月 -19 12.00.00.000000000 上午",110,188,0,2173,3038
3.6,56,67.5,189,"06-2月 -19 12.00.00.000000000 上午",75,75,0,822,1217
1.2,145,81.5,122,"22-2月 -19 12.00.00.000000000 上午",84,179,0,1055,1585
1.3,235,81.2,180,"02-3月 -19 12.00.00.000000000 上午",158,348,0,1040,1961
1.5,296,82.2,218,"04-3月 -19 12.00.00.000000000 上午",220,351,0,1191,2276
0.4,19,65.2,12,"08-3月 -19 12.00.00.000000000 上午",10,29,0,106,176
0.2,2,31.3,0,"09-3月 -19 12.00.00.000000000 上午",1,6,0,13,22
3.9,39,40.4,135,"11-3月 -19 12.00.00.000000000 上午",43,74,0,337,628
1,16,67.4,17,"14-3月 -19 12.00.00.000000000 上午",27,15,0,297,372
2,342,71.8,362,"04-4月 -19 12.00.00.000000000 上午",288,548,0,1364,2904
1.2,244,93,218,"05-4月 -19 12.00.00.000000000 上午",189,348,0,1176,2175
1.3,377,96.5,314,"07-4月 -19 12.00.00.000000000 上午",295,539,0,1598,3123
2.7,616,89.8,652,"10-4月 -19 12.00.00.000000000 上午",500,840,0,2515,5123
1.9,452,93.1,441,"15-4月 -19 12.00.00.000000000 上午",365,688,0,1812,3758
1.3,316,63.2,353,"16-4月 -19 12.00.00.000000000 上午",207,411,0,1259,2546
1.6,473,96.5,493,"24-4月 -19 12.00.00.000000000 上午",356,766,0,1926,4014
2,559,94.2,552,"26-4月 -19 12.00.00.000000000 上午",433,789,0,2216,4549
1.2,318,104.2,339,"01-5月 -19 12.00.00.000000000 上午",249,449,0,1825,3180
0.1,3,26.8,1,"07-5月 -19 12.00.00.000000000 上午",1,0,0,11,16
1.7,446,95.7,459,"29-5月 -19 12.00.00.000000000 上午",355,690,0,1711,3661
1.2,347,96.4,239,"01-6月 -19 12.00.00.000000000 上午",226,468,0,1288,2568
1.4,291,92.3,229,"06-6月 -19 12.00.00.000000000 上午",240,431,0,1046,2237
1.1,211,98.7,217,"07-6月 -19 12.00.00.000000000 上午",200,320,0,855,1803
1.6,348,94.5,335,"20-6月 -19 12.00.00.000000000 上午",298,537,0,1407,2925
1,1,16.2,8,"25-6月 -19 12.00.00.000000000 上午",0,3,0,32,44
2.7,392,89.1,277,"03-7月 -19 12.00.00.000000000 上午",285,563,0,1682,3199
1.1,237,96.7,163,"07-7月 -19 12.00.00.000000000 上午",236,403,0,785,1824
1.8,276,93.1,264,"22-7月 -19 12.00.00.000000000 上午",229,461,0,1154,2384
0.9,154,98.1,98,"27-7月 -19 12.00.00.000000000 上午",111,253,0,657,1273
1.1,169,97.3,143,"29-7月 -19 12.00.00.000000000 上午",112,296,0,774,1494
1.2,169,98.4,167,"07-8月 -19 12.00.00.000000000 上午",161,300,0,783,1580
1.2,155,97.8,130,"08-8月 -19 12.00.00.000000000 上午",125,267,0,824,1501
1.3,174,96.9,181,"12-8月 -19 12.00.00.000000000 上午",123,238,0,890,1606
0.9,191,94.1,63,"24-8月 -19 12.00.00.000000000 上午",106,260,0,710,1330
0.5,154,52,71,"26-8月 -19 12.00.00.000000000 上午",85,184,0,707,1201
1,277,80.6,216,"22-7月 -18 12.00.00.000000000 上午",210,333,0,3471,4507
25.1,1859,47.1,7714,"23-7月 -18 12.00.00.000000000 上午",1717,2118,0,13854,27262
2.1,474,88.4,425,"26-7月 -18 12.00.00.000000000 上午",341,623,0,3535,5398
2,702,102.5,784,"27-7月 -18 12.00.00.000000000 上午",523,899,0,6692,9600
1.8,636,104,672,"16-8月 -18 12.00.00.000000000 上午",512,787,0,5440,8047
1.6,441,105.5,375,"19-8月 -18 12.00.00.000000000 上午",351,549,0,4768,6484
1.8,692,105.4,693,"20-8月 -18 12.00.00.000000000 上午",516,852,0,5882,8635
1.5,607,104.7,643,"27-8月 -18 12.00.00.000000000 上午",422,762,0,4226,6660
1.1,409,105,381,"02-9月 -18 12.00.00.000000000 上午",285,500,0,3181,4756
1.9,634,101.8,789,"07-9月 -18 12.00.00.000000000 上午",538,872,0,4545,7378
1.8,622,104.1,771,"26-9月 -18 12.00.00.000000000 上午",518,737,0,4536,7184
2.1,698,101.7,776,"27-9月 -18 12.00.00.000000000 上午",552,839,0,4952,7817
8.7,689,46.5,1726,"12-10月-18 12.00.00.000000000 上午",909,711,0,5469,9504
1.9,669,101.3,728,"17-10月-18 12.00.00.000000000 上午",480,751,0,4076,6704
1,155,80.2,221,"15-11月-18 12.00.00.000000000 上午",131,210,0,1147,1864
1.2,70,81.9,105,"19-11月-18 12.00.00.000000000 上午",68,96,0,1076,1415
15.9,2193,64.2,6590,"08-12月-18 12.00.00.000000000 上午",2446,2658,0,17621,31508
1.3,392,110.8,375,"01-1月 -19 12.00.00.000000000 上午",337,484,0,4985,6573
2.1,1010,102,894,"03-1月 -19 12.00.00.000000000 上午",661,1224,0,6879,10668
3.4,900,95.5,1186,"04-1月 -19 12.00.00.000000000 上午",698,1107,0,5904,9795
1.4,163,83.4,169,"14-1月 -19 12.00.00.000000000 上午",114,217,0,3798,4461
14,453,64.3,1973,"23-1月 -19 12.00.00.000000000 上午",450,521,0,4335,7732
0.5,18,36.5,6,"21-2月 -19 12.00.00.000000000 上午",8,14,0,315,361
2.3,323,78.3,254,"28-2月 -19 12.00.00.000000000 上午",173,462,0,1511,2723
1.7,78,43.6,108,"01-3月 -19 12.00.00.000000000 上午",76,158,0,448,868
14.7,854,58.1,3763,"03-3月 -19 12.00.00.000000000 上午",1143,1144,0,5361,12265
1.5,25,68,26,"07-3月 -19 12.00.00.000000000 上午",17,28,0,176,272
1.8,540,94.8,542,"09-4月 -19 12.00.00.000000000 上午",450,846,0,2247,4625
1.6,335,77.4,470,"25-4月 -19 12.00.00.000000000 上午",296,477,0,1526,3104
0.7,156,42.8,146,"29-4月 -19 12.00.00.000000000 上午",146,269,0,790,1507
0.5,24,61.3,24,"02-5月 -19 12.00.00.000000000 上午",26,26,0,122,222
1.6,412,98.6,393,"14-5月 -19 12.00.00.000000000 上午",336,576,0,1882,3599
1.7,503,97.4,524,"20-5月 -19 12.00.00.000000000 上午",380,705,0,2308,4420
2,393,96.6,408,"24-5月 -19 12.00.00.000000000 上午",341,676,0,1813,3631
1.1,206,97.5,191,"26-5月 -19 12.00.00.000000000 上午",189,326,0,879,1791
1.7,422,92.8,403,"30-5月 -19 12.00.00.000000000 上午",294,550,0,1453,3122
1.6,364,92.8,287,"04-6月 -19 12.00.00.000000000 上午",258,514,0,1353,2776
1.6,321,79,353,"05-6月 -19 12.00.00.000000000 上午",232,455,0,1313,2674
1.4,257,73.3,256,"24-6月 -19 12.00.00.000000000 上午",171,297,0,1174,2155
2.1,355,94.3,388,"28-6月 -19 12.00.00.000000000 上午",341,562,0,1477,3123
2.2,327,92.8,356,"05-7月 -19 12.00.00.000000000 上午",297,531,0,1260,2771
1.2,323,94.9,202,"13-7月 -19 12.00.00.000000000 上午",194,485,0,1155,2359
0.7,169,62.1,74,"21-7月 -19 12.00.00.000000000 上午",120,254,0,572,1189
1.5,254,91.7,187,"23-7月 -19 12.00.00.000000000 上午",165,331,0,1021,1958
0.8,129,101,69,"11-8月 -19 12.00.00.000000000 上午",76,178,0,531,983
1.5,91,83.8,54,"31-8月 -19 12.00.00.000000000 上午",65,135,0,381,726
0.9,162,93.8,74,"08-9月 -19 12.00.00.000000000 上午",90,190,0,627,1143
1.2,183,97.4,175,"11-9月 -19 12.00.00.000000000 上午",150,281,0,948,1737
19.3,2413,53.4,6819,"27-5月 -18 12.00.00.000000000 上午",2248,2607,0,21863,35950
14.6,1824,49.2,5109,"28-5月 -18 12.00.00.000000000 上午",1472,1994,0,15769,26168
14.9,1682,50.9,4104,"29-5月 -18 12.00.00.000000000 上午",1550,1910,0,14913,24159
19.8,2961,51.5,7282,"30-5月 -18 12.00.00.000000000 上午",2232,3138,0,25085,40698
22.6,2626,44.3,7282,"31-5月 -18 12.00.00.000000000 上午",2439,2791,0,23615,38753
21.6,1144,43.1,3594,"01-6月 -18 12.00.00.000000000 上午",876,1237,0,11420,18271
24.5,1964,51.3,5878,"11-6月 -18 12.00.00.000000000 上午",1456,2107,0,16519,27924
23.9,1598,44.2,6688,"12-6月 -18 12.00.00.000000000 上午",1946,1962,0,16346,28540
1.4,356,95.8,302,"08-7月 -19 12.00.00.000000000 上午",279,547,0,1256,2740
0.8,140,70.6,70,"02-8月 -19 12.00.00.000000000 上午",83,166,0,569,1028
1.2,160,95.9,87,"14-8月 -19 12.00.00.000000000 上午",82,181,0,670,1180
0.9,173,92.1,68,"17-8月 -19 12.00.00.000000000 上午",109,220,0,702,1272
0.4,45,64.4,31,"18-8月 -19 12.00.00.000000000 上午",38,68,0,242,424
0.4,82,58.8,29,"25-8月 -19 12.00.00.000000000 上午",45,113,0,296,565
1.2,191,94.9,131,"28-8月 -19 12.00.00.000000000 上午",134,318,0,755,1529
1.2,212,92.7,113,"30-8月 -19 12.00.00.000000000 上午",119,320,0,885,1649
1.3,92,56.4,118,"02-9月 -19 12.00.00.000000000 上午",59,128,0,580,977
0.9,81,97.4,49,"13-9月 -19 12.00.00.000000000 上午",52,115,0,417,714
1.3,154,58.7,118,"17-9月 -19 12.00.00.000000000 上午",94,201,0,747,1314
2.3,607,82.4,627,"20-7月 -18 12.00.00.000000000 上午",391,679,0,4650,6954
18.7,816,46.4,4025,"30-7月 -18 12.00.00.000000000 上午",1118,897,0,8572,15428
1.9,822,105,862,"14-8月 -18 12.00.00.000000000 上午",585,1005,0,6871,10145
1.8,613,102.2,638,"21-8月 -18 12.00.00.000000000 上午",455,782,0,4839,7327
1.1,450,110.3,441,"25-8月 -18 12.00.00.000000000 上午",410,582,0,4483,6366
3.8,711,89.8,421,"30-8月 -18 12.00.00.000000000 上午",372,703,0,5849,8056
1.9,602,100.6,732,"04-9月 -18 12.00.00.000000000 上午",484,769,0,4292,6879
2.9,726,100.6,995,"18-9月 -18 12.00.00.000000000 上午",521,909,0,5126,8277
2.9,720,101.4,1014,"21-9月 -18 12.00.00.000000000 上午",548,795,0,4936,8013
10.1,1112,56.1,2960,"04-10月-18 12.00.00.000000000 上午",1157,1174,0,8696,15099
12.7,1409,65.2,4049,"26-10月-18 12.00.00.000000000 上午",1398,1590,0,10703,19149
8,148,60.1,687,"28-10月-18 12.00.00.000000000 上午",156,209,0,1369,2569
9.4,177,55.4,713,"29-10月-18 12.00.00.000000000 上午",216,180,0,2491,3777
3,412,85.9,673,"30-10月-18 12.00.00.000000000 上午",328,577,0,2875,4865
5.2,523,76.9,1575,"01-11月-18 12.00.00.000000000 上午",408,530,0,5140,8176
4.7,297,72.8,922,"11-11月-18 12.00.00.000000000 上午",283,408,0,3266,5176
0.3,0,79.1,0,"17-11月-18 12.00.00.000000000 上午",0,0,0,1083,1083
2.2,752,99.5,751,"28-11月-18 12.00.00.000000000 上午",549,881,0,4602,7535
3.6,800,98.3,1025,"06-12月-18 12.00.00.000000000 上午",600,997,0,4932,8354
18.1,1874,55.6,5873,"09-12月-18 12.00.00.000000000 上午",2590,2316,0,15667,28320
13.4,1098,62.7,3470,"20-12月-18 12.00.00.000000000 上午",1165,1385,0,8864,15982
4.1,620,92.4,959,"24-12月-18 12.00.00.000000000 上午",534,791,0,5162,8066
0.3,0,69.3,0,"20-1月 -19 12.00.00.000000000 上午",0,0,0,1096,1096
5.3,116,62.2,612,"25-1月 -19 12.00.00.000000000 上午",144,170,0,1975,3017
3,219,72.4,495,"30-1月 -19 12.00.00.000000000 上午",169,228,0,2245,3356
3.1,61,86.4,175,"04-2月 -19 12.00.00.000000000 上午",59,93,0,1523,1911
18.7,825,54.4,4743,"12-2月 -19 12.00.00.000000000 上午",908,1028,0,7694,15198
1.1,127,85.6,118,"18-2月 -19 12.00.00.000000000 上午",112,214,0,1680,2251
1.9,383,91.6,387,"24-2月 -19 12.00.00.000000000 上午",272,467,0,2545,4054
1.6,229,86.3,294,"16-3月 -19 12.00.00.000000000 上午",209,376,0,1045,2153
2.3,469,94,626,"20-3月 -19 12.00.00.000000000 上午",511,748,0,1806,4160
1.3,352,78.5,333,"24-3月 -19 12.00.00.000000000 上午",270,423,0,1906,3284
0,0,0,0,"29-3月 -19 12.00.00.000000000 上午",0,0,0,0,0
5.8,304,75.4,372,"06-4月 -19 12.00.00.000000000 上午",257,440,0,1295,2668
2,484,89.1,356,"13-4月 -19 12.00.00.000000000 上午",319,630,0,1953,3742
2.3,68,36.1,105,"28-4月 -19 12.00.00.000000000 上午",48,103,0,385,709
1,223,95.2,127,"30-6月 -19 12.00.00.000000000 上午",200,353,0,889,1792
1.2,284,94.8,195,"14-7月 -19 12.00.00.000000000 上午",231,406,0,1084,2200
0.9,160,96.8,86,"28-7月 -19 12.00.00.000000000 上午",95,230,0,583,1154
0.8,144,97.9,74,"09-8月 -19 12.00.00.000000000 上午",105,189,0,613,1125
0.9,148,96.4,96,"15-8月 -19 12.00.00.000000000 上午",106,240,0,812,1402
1.1,201,94.2,139,"23-8月 -19 12.00.00.000000000 上午",162,258,0,762,1522
2.2,193,87,199,"12-9月 -19 12.00.00.000000000 上午",121,252,0,926,1691
1.8,643,100.2,512,"05-8月 -18 12.00.00.000000000 上午",366,689,0,5688,7898
1.8,775,104.8,770,"07-8月 -18 12.00.00.000000000 上午",546,972,0,6808,9871
1.9,754,103.3,669,"10-8月 -18 12.00.00.000000000 上午",556,885,0,6049,8913
1.3,622,104,537,"15-8月 -18 12.00.00.000000000 上午",414,752,0,5138,7463
2.8,762,102,1095,"10-9月 -18 12.00.00.000000000 上午",630,953,0,5387,8827
2.4,726,103.9,986,"20-9月 -18 12.00.00.000000000 上午",571,855,0,5021,8159
