XH,CJTS,YT,CJMJ,YF
1007,95,办公,9925.62,2020-08
1008,280,商业,25112.59,2020-10
1009,9,商业,808.34,2020-10
1010,46,商业,3900.41,2020-10
1011,25,商业,1670.89,2020-10
1012,68,商业,4396.8,2020-10
1013,66,商业,5947.4,2020-10
1014,66,商业,8388.75,2020-10
1015,101,住宅,8297.54,2020-10
1016,5049,住宅,447815.61,2020-10
1017,760,住宅,75785.5,2020-10
1018,858,住宅,64059.44,2020-10
1019,1591,住宅,139583.63,2020-10
1020,716,住宅,61247.26,2020-10
1021,1023,住宅,98842.24,2020-10
1022,33,其他,2102.36,2020-10
1023,40,其他,3039.36,2020-10
1024,12,其他,1001.62,2020-10
1025,22,其他,1894.4,2020-10
1026,2,其他,131.96,2020-10
1027,120,其他,8578.87,2020-10
1028,11,其他,409.17,2020-10
1029,12,办公,499.24,2020-10
1030,25,办公,3569.36,2020-10
1031,11,办公,779.48,2020-10
1032,11,办公,1433.11,2020-10
1033,13,办公,2672.18,2020-10
1034,72,办公,8953.37,2020-10
1035,398,商业,30060.99,2020-11
1036,9,商业,1108.99,2020-11
1037,69,商业,4594.8,2020-11
1038,39,商业,2973.77,2020-11
1039,100,商业,5620.72,2020-11
1040,59,商业,7148.18,2020-11
1041,122,商业,8614.53,2020-11
1042,123,住宅,9992.42,2020-11
1043,5812,住宅,502864.71,2020-11
1044,765,住宅,75969.71,2020-11
1045,1054,住宅,76523.46,2020-11
1046,1842,住宅,161351.77,2020-11
1047,875,住宅,72390.04,2020-11
1048,1153,住宅,106637.31,2020-11
1049,64,其他,7023.16,2020-11
1050,54,其他,3486.99,2020-11
1051,15,其他,866,2020-11
1052,15,其他,1454.76,2020-11
1053,4,其他,644.64,2020-11
1054,164,其他,15945.47,2020-11
1055,12,其他,2469.92,2020-11
1056,13,办公,664.89,2020-11
1057,61,办公,5572.95,2020-11
1058,14,办公,610.08,2020-11
1059,20,办公,2713.96,2020-11
1060,6,办公,686.97,2020-11
1061,114,办公,10248.85,2020-11
